(100,137,210)
(110,140,212)
(103,127,201)
(106,119,194)
(111,124,199)
(111,132,206)
(103,137,209)
(89,140,209)
(84,140,209)
(81,137,201)
(92,132,199)
(110,129,196)
(119,126,191)
(118,126,188)
(114,129,190)
(102,134,190)
(105,135,188)
(137,140,196)
(130,137,193)
(98,140,198)
(87,140,202)
(86,132,202)
(87,119,194)
(98,110,188)
(106,110,186)
(116,124,196)
(119,129,198)
(122,132,198)
(124,132,194)
(134,130,198)
(130,129,196)
(118,124,190)
(100,119,186)
(82,114,180)
(84,124,188)
(98,129,198)
(106,132,201)
(124,134,206)
(129,134,206)
